"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"4","","0","","5","0","","0"
"1","","0","Catalog checkout","0","0","Buy a Product ""skin"" end to end","0"
"1","","0","Catalog checkout","0","0","Buy a Single product end to end","0"
"1","","0","Catalog checkout","0","0","Buy a Product ""headphones"" end to end","0"
"1","","0","Catalog checkout","0","0","A fresh cart to be Opened","0"
"1","","0","Catalog checkout","0","0","Buy a Product ""water"" end to end","0"
"0","Framework Hardening","0","Reporting Insights","1","0","Categories","0"
